Time,Name,Color,Mean_gray,Gray
530,NNN157D,purple,125.07333333333332,"[117.66, 142.0, 164.82, 91.12, 116.73, 118.11]"
530,mrfp1,red,147.15,"[146.53, 144.87, 150.05]"
535,NNN157D,purple,125.15666666666668,"[117.58, 141.71, 164.35, 91.47, 117.47, 118.36]"
535,mrfp1,red,147.58666666666667,"[146.8, 145.54, 150.42]"
540,mrfp1,red,147.28333333333333,"[146.13, 145.46, 150.26]"
540,NNN157D,purple,125.02,"[117.88, 141.2, 165.03, 91.27, 116.13, 118.61]"
545,mrfp1,red,147.14666666666665,"[146.41, 145.24, 149.79]"
545,NNN157D,purple,125.08833333333332,"[117.53, 141.93, 165.04, 91.04, 116.63, 118.36]"
550,mrfp1,red,147.32333333333335,"[146.76, 145.46, 149.75]"
550,NNN157D,purple,125.015,"[117.68, 141.75, 164.89, 91.35, 116.92, 117.5]"
555,mrfp1,red,146.96333333333334,"[146.24, 145.0, 149.65]"
555,NNN157D,purple,125.07833333333332,"[118.16, 141.27, 164.75, 91.68, 116.65, 117.96]"
560,mrfp1,red,147.31,"[146.65, 145.35, 149.93]"
560,NNN157D,purple,125.29333333333334,"[117.69, 141.65, 165.49, 90.69, 117.37, 118.87]"
565,mrfp1,red,146.70000000000002,"[145.3, 144.63, 150.17]"
565,NNN157D,purple,124.85333333333332,"[117.14, 141.75, 164.42, 91.79, 116.23, 117.79]"
570,mrfp1,red,147.11,"[145.93, 145.34, 150.06]"
570,NNN157D,purple,125.13833333333334,"[117.35, 141.97, 164.69, 91.59, 116.74, 118.49]"
575,mrfp1,red,146.91,"[145.83, 144.88, 150.02]"
575,NNN157D,purple,125.085,"[117.45, 141.82, 164.81, 92.24, 116.69, 117.5]"
580,NNN157D,purple,124.99833333333332,"[117.71, 141.78, 164.87, 90.55, 116.92, 118.16]"
580,mrfp1,red,147.08666666666667,"[145.79, 145.36, 150.11]"
585,mrfp1,red,146.56666666666666,"[145.33, 144.8, 149.57]"
585,NNN157D,purple,125.03833333333333,"[117.12, 141.27, 165.05, 91.36, 117.07, 118.36]"
590,mrfp1,red,146.9,"[145.3, 145.91, 149.49]"
590,NNN157D,purple,125.24333333333333,"[117.72, 141.42, 164.52, 91.9, 117.07, 118.83]"
595,mrfp1,red,147.07000000000002,"[145.76, 145.62, 149.83]"
595,NNN157D,purple,125.235,"[118.13, 141.43, 165.45, 90.62, 116.66, 119.12]"
600,NNN157D,purple,125.13666666666668,"[117.69, 141.42, 165.08, 91.42, 117.09, 118.12]"
600,mrfp1,red,146.70666666666668,"[145.68, 144.61, 149.83]"
605,mrfp1,red,147.11333333333334,"[146.04, 145.45, 149.85]"
605,NNN157D,purple,125.41833333333334,"[118.05, 141.67, 164.82, 91.73, 117.14, 119.1]"
610,mrfp1,red,146.97,"[145.33, 145.3, 150.28]"
610,NNN157D,purple,125.16833333333334,"[117.64, 141.93, 164.88, 91.52, 116.55, 118.49]"
615,mrfp1,red,146.67666666666665,"[145.51, 144.91, 149.61]"
615,NNN157D,purple,125.58499999999998,"[117.89, 142.13, 165.39, 92.04, 117.27, 118.79]"
620,NNN157D,purple,125.39833333333333,"[117.82, 141.76, 165.36, 92.17, 117.01, 118.27]"
620,mrfp1,red,146.63666666666666,"[145.27, 144.63, 150.01]"
625,NNN157D,purple,125.15,"[117.71, 141.62, 164.74, 91.22, 116.98, 118.63]"
625,mrfp1,red,146.38333333333333,"[144.73, 144.58, 149.84]"
630,mrfp1,red,146.89666666666665,"[145.45, 145.47, 149.77]"
630,NNN157D,purple,125.14666666666665,"[117.01, 141.12, 165.04, 91.55, 117.47, 118.69]"
635,mrfp1,red,146.31666666666663,"[144.57, 144.71, 149.67]"
635,NNN157D,purple,125.46833333333336,"[118.26, 141.67, 165.13, 92.27, 117.15, 118.33]"
640,mrfp1,red,146.64333333333337,"[144.52, 145.55, 149.86]"
640,NNN157D,purple,125.12333333333332,"[117.65, 141.09, 164.22, 92.02, 117.08, 118.68]"
645,mrfp1,red,146.28333333333333,"[144.65, 144.27, 149.93]"
645,NNN157D,purple,125.24,"[118.0, 141.5, 164.6, 91.71, 117.45, 118.18]"
650,NNN157D,purple,125.36,"[117.8, 141.91, 164.66, 92.27, 117.08, 118.44]"
650,mrfp1,red,146.24333333333334,"[144.8, 144.61, 149.32]"
655,mrfp1,red,146.25333333333333,"[144.27, 144.42, 150.07]"
655,NNN157D,purple,125.01333333333332,"[118.05, 141.32, 164.35, 91.16, 116.26, 118.94]"
660,mrfp1,red,146.20666666666668,"[144.69, 144.64, 149.29]"
660,NNN157D,purple,125.21166666666666,"[117.81, 141.43, 165.32, 91.33, 116.92, 118.46]"
665,mrfp1,red,145.91,"[144.02, 144.21, 149.5]"
665,NNN157D,purple,125.03166666666664,"[117.82, 141.84, 165.31, 90.97, 116.62, 117.63]"
